cfg_id;bow;bigram;lemmatize;remove_stopwords;rating;length;tense;sentiment1;sentiment2;db_comment_column_name;1_fold
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.6428571428571429
bigram;False;True;False;False;False;False;False;False;False;comment;0.5604395604395604
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.7391304347826086
bow-bigram;True;True;False;False;False;False;False;False;False;comment;0.6829268292682927
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.6875
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.6486486486486487
bow-lemmatize-remove_stopwords;True;False;True;True;False;False;False;False;False;stopwords_removal_lemmatization;0.6842105263157895
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.62
bow-lemmatize;True;False;True;False;False;False;False;False;False;lemmatized_comment;0.7272727272727273
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.6956521739130435
bow;True;False;False;False;False;False;False;False;False;comment;0.6785714285714286
bow-bigram-lemmatize-remove_stopwords;True;True;True;True;False;False;False;False;False;stopwords_removal_lemmatization;0.7407407407407407
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.6363636363636364
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.7241379310344828
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.6119402985074627
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.5263157894736842
bow-remove_stopwords;True;False;False;True;False;False;False;False;False;stopwords_removal;0.6842105263157895
