cfg_id;bow;bigram;lemmatize;remove_stopwords;rating;length;tense;sentiment1;sentiment2;db_comment_column_name;Mean_Precision;Mean_Recall;Mean_F1Score;Mean_Time
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.7294452783012959;0.8636415920502879;0.7905990242944778;4.779200029373169
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.7315531473443091;0.7981984224062566;0.7630162955644215;6.680999994277954
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.8189924895188749;0.8009561751725844;0.8093750472321789;6.281100034713745
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.8148101368136397;0.748160269552408;0.7795355380899485;103.89279999732972
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.8375184005929993;0.7407485956361947;0.7849409091729244;5.894599986076355
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.7161454332867045;0.8253579316987443;0.7660811755649571;6.807300066947937
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.7375561174382279;0.8587778221245816;0.7927881163118565;4.636199951171875
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.7188534962022424;0.8201339801357406;0.7655611439639045;6.911699986457824
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.8101875129790301;0.8042309485932657;0.8066328547402906;6.287899971008301
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.8051484850788599;0.7295189098030439;0.7644318491274207;8.03950002193451
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.839897009298291;0.7196193364381266;0.7745431724537227;6.5565999984741214
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.7205908992911472;0.8426481174355386;0.7762258918231268;7.050499987602234
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.7479112282717542;0.8695583163279373;0.8037384276571258;4.632400012016296
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.7218937460604489;0.8108257994236115;0.7632878474201593;5.269099998474121
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.902815048466023;0.4061185343962886;0.5588476666156216;1.0381999969482423
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.7961994139937643;0.5597350455118917;0.6568109344139929;0.7966000080108643
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.7452863448528028;0.8744662169627656;0.8043362350459351;4.438299989700317
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.7245486553330992;0.8256945909848612;0.7702936682534423;7.0034000158309935
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.7980945112960173;0.8030948065635075;0.8000779278981073;6.251900005340576
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.8227657181330775;0.735233286459995;0.7760312053183313;8.15160005092621
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.8330069902631678;0.7370617159872171;0.7810724962484961;6.417800045013427
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.7303878377465111;0.8394129351704434;0.7804498523035643;7.0663999795913695
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.735802886138252;0.8453623049631304;0.786091594096513;4.712499976158142
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.7121788193459659;0.81153860460545;0.7573111919606321;7.552499985694885
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.8157157180558323;0.8032426914702496;0.8088599710839759;6.8033000230789185
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.8323693280405287;0.7546976716343512;0.7909433546436132;8.143899989128112
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.7445905825956901;0.8629319603829313;0.7990010800594607;4.990700006484985
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.726494171686081;0.8209669753547558;0.7701706587499734;7.233100032806396
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.823602687954432;0.8074488183299522;0.8149722469435723;6.971199965476989
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.833793024696931;0.7556902026297345;0.7924401327388054;8.622800016403199
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.8283672853145412;0.7206492910670005;0.7703714680632933;6.395399951934815
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.7422097782362161;0.814105287259307;0.775757186687885;7.219799995422363
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.7234035959758514;0.844945377032392;0.7785353990099996;4.948099946975708
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.7092316419227307;0.8169941772689706;0.7579168745087379;5.346200037002563
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.9233504690296259;0.4146488430839885;0.5709370170450084;1.020099973678589
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.8189141413860025;0.5554825784279218;0.6614016338236126;0.7904999732971192
